ticker,year,total_days,positive_382_touches,positive_golden_gates,positive_probability,negative_382_touches,negative_golden_gates,negative_probability,start_date,end_date
QQQ,2000,135,68,30,44.11764705882353,78,49,62.82051282051282,2000-06-19,2000-12-29
QQQ,2001,247,124,63,50.806451612903224,118,71,60.16949152542372,2001-01-02,2001-12-31
QQQ,2002,251,111,56,50.45045045045045,152,84,55.26315789473685,2002-01-02,2002-12-31
QQQ,2003,251,142,80,56.33802816901409,126,62,49.2063492063492,2003-01-02,2003-12-31
QQQ,2004,251,136,74,54.41176470588235,121,75,61.98347107438017,2004-01-02,2004-12-31
QQQ,2005,252,128,62,48.4375,118,59,50.0,2005-01-03,2005-12-30
QQQ,2006,250,125,64,51.2,122,69,56.557377049180324,2006-01-03,2006-12-29
QQQ,2007,250,130,62,47.69230769230769,110,63,57.27272727272727,2007-01-03,2007-12-31
QQQ,2008,252,122,63,51.63934426229508,134,74,55.223880597014926,2008-01-02,2008-12-31
QQQ,2009,251,135,75,55.55555555555556,107,56,52.336448598130836,2009-01-02,2009-12-31
QQQ,2010,251,114,51,44.73684210526316,117,55,47.008547008547005,2010-01-04,2010-12-31
QQQ,2011,251,127,55,43.30708661417323,111,70,63.06306306306306,2011-01-03,2011-12-30
QQQ,2012,249,122,63,51.63934426229508,110,63,57.27272727272727,2012-01-03,2012-12-31
QQQ,2013,251,131,60,45.80152671755725,110,52,47.27272727272727,2013-01-02,2013-12-31
QQQ,2014,251,121,65,53.71900826446281,121,72,59.50413223140496,2014-01-02,2014-12-31
QQQ,2015,251,106,48,45.28301886792453,105,64,60.952380952380956,2015-01-02,2015-12-31
QQQ,2016,251,104,56,53.84615384615385,113,59,52.21238938053098,2016-01-04,2016-12-30
QQQ,2017,250,125,62,49.6,101,52,51.48514851485149,2017-01-03,2017-12-29
QQQ,2018,250,131,69,52.67175572519084,111,61,54.95495495495496,2018-01-02,2018-12-31
QQQ,2019,251,110,62,56.36363636363636,97,53,54.63917525773196,2019-01-02,2019-12-31
QQQ,2020,252,135,61,45.18518518518518,91,51,56.043956043956044,2020-01-02,2020-12-31
QQQ,2021,251,125,69,55.2,104,57,54.807692307692314,2021-01-04,2021-12-31
QQQ,2022,250,111,57,51.35135135135135,125,73,58.4,2022-01-03,2022-12-30
QQQ,2023,249,124,72,58.06451612903226,112,61,54.46428571428571,2023-01-03,2023-12-29
QQQ,2024,251,119,65,54.621848739495796,95,50,52.63157894736842,2024-01-02,2024-12-31
QQQ,2025,108,40,20,50.0,47,21,44.680851063829785,2025-01-02,2025-06-10
