ticker,year,total_days,positive_382_touches,positive_golden_gates,positive_probability,negative_382_touches,negative_golden_gates,negative_probability,excluded_positive_gaps,excluded_negative_gaps,start_date,end_date
QQQ,2000,135,57,26,45.614035087719294,71,43,60.56338028169014,11,7,2000-06-19,2000-12-29
QQQ,2001,247,105,51,48.57142857142857,97,55,56.70103092783505,19,21,2001-01-02,2001-12-31
QQQ,2002,251,94,47,50.0,135,75,55.55555555555556,17,17,2002-01-02,2002-12-31
QQQ,2003,251,121,68,56.19834710743802,109,52,47.706422018348626,21,17,2003-01-02,2003-12-31
QQQ,2004,251,115,61,53.04347826086957,104,59,56.730769230769226,21,17,2004-01-02,2004-12-31
QQQ,2005,252,120,55,45.83333333333333,112,56,50.0,8,6,2005-01-03,2005-12-30
QQQ,2006,250,114,54,47.368421052631575,113,64,56.63716814159292,11,9,2006-01-03,2006-12-29
QQQ,2007,250,106,56,52.83018867924528,89,48,53.93258426966292,24,21,2007-01-03,2007-12-31
QQQ,2008,252,104,54,51.92307692307693,112,66,58.92857142857143,18,22,2008-01-02,2008-12-31
QQQ,2009,251,110,59,53.63636363636364,94,48,51.06382978723404,25,13,2009-01-02,2009-12-31
QQQ,2010,251,90,38,42.22222222222222,96,44,45.83333333333333,24,21,2010-01-04,2010-12-31
QQQ,2011,251,97,42,43.29896907216495,91,60,65.93406593406593,30,20,2011-01-03,2011-12-30
QQQ,2012,249,89,47,52.80898876404494,86,47,54.65116279069767,33,24,2012-01-03,2012-12-31
QQQ,2013,251,99,47,47.474747474747474,87,44,50.57471264367817,32,23,2013-01-02,2013-12-31
QQQ,2014,251,94,47,50.0,95,59,62.10526315789474,27,26,2014-01-02,2014-12-31
QQQ,2015,251,81,37,45.67901234567901,82,49,59.756097560975604,25,23,2015-01-02,2015-12-31
QQQ,2016,251,80,40,50.0,92,51,55.434782608695656,24,21,2016-01-04,2016-12-30
QQQ,2017,250,88,39,44.31818181818182,79,42,53.16455696202531,37,22,2017-01-03,2017-12-29
QQQ,2018,250,98,49,50.0,85,53,62.35294117647059,33,26,2018-01-02,2018-12-31
QQQ,2019,251,76,41,53.94736842105263,78,44,56.41025641025641,34,19,2019-01-02,2019-12-31
QQQ,2020,252,95,40,42.10526315789473,66,40,60.60606060606061,40,25,2020-01-02,2020-12-31
QQQ,2021,251,94,52,55.319148936170215,80,46,57.49999999999999,31,24,2021-01-04,2021-12-31
QQQ,2022,250,85,42,49.411764705882355,101,62,61.386138613861384,26,24,2022-01-03,2022-12-30
QQQ,2023,249,97,60,61.855670103092784,85,46,54.11764705882353,27,27,2023-01-03,2023-12-29
QQQ,2024,251,75,42,56.00000000000001,82,45,54.87804878048781,44,13,2024-01-02,2024-12-31
QQQ,2025,108,31,16,51.61290322580645,33,19,57.57575757575758,9,14,2025-01-02,2025-06-10
