ticker,year,total_days,gap_open_positive,gap_open_positive_complete,gap_open_positive_rate,gap_open_negative,gap_open_negative_complete,gap_open_negative_rate,intraday_positive,intraday_positive_complete,intraday_positive_rate,intraday_negative,intraday_negative_complete,intraday_negative_rate,start_date,end_date
SPY,2000,135,19,14,73.68421052631578,9,7,77.77777777777779,57,26,45.614035087719294,62,42,67.74193548387096,2000-06-19,2000-12-29
SPY,2001,247,20,15,75.0,25,18,72.0,94,53,56.38297872340425,96,65,67.70833333333334,2001-01-02,2001-12-31
SPY,2002,251,22,15,68.18181818181817,28,26,92.85714285714286,95,53,55.78947368421052,121,78,64.46280991735537,2002-01-02,2002-12-31
SPY,2003,251,23,17,73.91304347826086,22,18,81.81818181818183,108,68,62.96296296296296,101,62,61.386138613861384,2003-01-02,2003-12-31
SPY,2004,250,11,9,81.81818181818183,7,4,57.14285714285714,82,36,43.90243902439025,81,48,59.25925925925925,2004-01-02,2004-12-31
SPY,2005,251,3,3,100.0,2,2,100.0,108,57,52.77777777777778,105,63,60.0,2005-01-03,2005-12-30
SPY,2006,250,3,3,100.0,3,2,66.66666666666666,66,32,48.484848484848484,57,26,45.614035087719294,2006-01-03,2006-12-29
SPY,2007,249,12,11,91.66666666666666,7,6,85.71428571428571,50,27,54.0,57,35,61.40350877192983,2007-01-03,2007-12-31
SPY,2008,252,27,19,70.37037037037037,41,35,85.36585365853658,90,53,58.88888888888889,99,56,56.56565656565656,2008-01-02,2008-12-31
SPY,2009,251,41,33,80.48780487804879,35,29,82.85714285714286,87,45,51.724137931034484,82,37,45.1219512195122,2009-01-02,2009-12-31
SPY,2010,251,43,31,72.09302325581395,38,30,78.94736842105263,84,34,40.476190476190474,90,47,52.22222222222223,2010-01-04,2010-12-31
SPY,2011,251,53,34,64.15094339622641,43,28,65.11627906976744,82,41,50.0,79,49,62.0253164556962,2011-01-03,2011-12-30
SPY,2012,249,45,25,55.55555555555556,41,28,68.29268292682927,78,40,51.28205128205128,92,44,47.82608695652174,2012-01-03,2012-12-31
SPY,2013,251,41,31,75.60975609756098,33,23,69.6969696969697,96,55,57.291666666666664,83,51,61.44578313253012,2013-01-02,2013-12-31
SPY,2014,251,48,36,75.0,30,23,76.66666666666667,89,42,47.19101123595505,95,56,58.94736842105262,2014-01-02,2014-12-31
SPY,2015,251,44,34,77.27272727272727,39,31,79.48717948717949,71,37,52.112676056338024,86,46,53.48837209302325,2015-01-02,2015-12-31
SPY,2016,251,41,33,80.48780487804879,39,25,64.1025641025641,82,41,50.0,84,46,54.761904761904766,2016-01-04,2016-12-30
SPY,2017,250,57,39,68.42105263157895,31,27,87.09677419354838,73,36,49.31506849315068,82,41,50.0,2017-01-03,2017-12-29
SPY,2018,250,47,41,87.2340425531915,32,25,78.125,80,48,60.0,90,54,60.0,2018-01-02,2018-12-31
SPY,2019,251,57,41,71.9298245614035,31,20,64.51612903225806,72,33,45.83333333333333,70,42,60.0,2019-01-02,2019-12-31
SPY,2020,252,61,45,73.77049180327869,39,26,66.66666666666666,78,36,46.15384615384615,71,33,46.478873239436616,2020-01-02,2020-12-31
SPY,2021,251,51,41,80.3921568627451,37,26,70.27027027027027,82,40,48.78048780487805,70,38,54.285714285714285,2021-01-04,2021-12-31
SPY,2022,250,35,26,74.28571428571429,52,44,84.61538461538461,83,43,51.80722891566265,94,45,47.87234042553192,2022-01-03,2022-12-30
SPY,2023,249,47,33,70.2127659574468,37,27,72.97297297297297,88,50,56.81818181818182,78,46,58.97435897435898,2023-01-03,2023-12-29
SPY,2024,251,52,45,86.53846153846155,29,20,68.96551724137932,89,47,52.80898876404494,75,42,56.00000000000001,2024-01-02,2024-12-31
SPY,2025,108,20,14,70.0,21,13,61.904761904761905,26,15,57.692307692307686,31,18,58.06451612903226,2025-01-02,2025-06-10
