ticker,year,total_days,positive_382_touches,positive_golden_gates,positive_probability,negative_382_touches,negative_golden_gates,negative_probability,excluded_positive_gaps,excluded_negative_gaps,start_date,end_date
SPY,2000,135,57,26,45.614035087719294,62,42,67.74193548387096,14,6,2000-06-19,2000-12-29
SPY,2001,247,94,53,56.38297872340425,96,65,67.70833333333334,15,20,2001-01-02,2001-12-31
SPY,2002,251,95,53,55.78947368421052,121,78,64.46280991735537,13,26,2002-01-02,2002-12-31
SPY,2003,251,108,68,62.96296296296296,101,62,61.386138613861384,19,19,2003-01-02,2003-12-31
SPY,2004,250,82,36,43.90243902439025,81,48,59.25925925925925,9,6,2004-01-02,2004-12-31
SPY,2005,251,108,57,52.77777777777778,105,63,60.0,3,2,2005-01-03,2005-12-30
SPY,2006,250,66,32,48.484848484848484,57,26,45.614035087719294,3,3,2006-01-03,2006-12-29
SPY,2007,249,50,27,54.0,57,35,61.40350877192983,10,6,2007-01-03,2007-12-31
SPY,2008,252,90,53,58.88888888888889,99,56,56.56565656565656,24,33,2008-01-02,2008-12-31
SPY,2009,251,87,45,51.724137931034484,82,37,45.1219512195122,26,23,2009-01-02,2009-12-31
SPY,2010,251,84,34,40.476190476190474,90,47,52.22222222222223,29,32,2010-01-04,2010-12-31
SPY,2011,251,82,41,50.0,79,49,62.0253164556962,37,24,2011-01-03,2011-12-30
SPY,2012,249,78,40,51.28205128205128,92,44,47.82608695652174,29,25,2012-01-03,2012-12-31
SPY,2013,251,96,55,57.291666666666664,83,51,61.44578313253012,26,26,2013-01-02,2013-12-31
SPY,2014,251,89,42,47.19101123595505,95,56,58.94736842105262,32,24,2014-01-02,2014-12-31
SPY,2015,251,71,37,52.112676056338024,86,46,53.48837209302325,27,21,2015-01-02,2015-12-31
SPY,2016,251,82,41,50.0,84,46,54.761904761904766,24,23,2016-01-04,2016-12-30
SPY,2017,250,73,36,49.31506849315068,82,41,50.0,40,22,2017-01-03,2017-12-29
SPY,2018,250,80,48,60.0,90,54,60.0,32,23,2018-01-02,2018-12-31
SPY,2019,251,72,33,45.83333333333333,70,42,60.0,36,21,2019-01-02,2019-12-31
SPY,2020,252,78,36,46.15384615384615,71,33,46.478873239436616,33,22,2020-01-02,2020-12-31
SPY,2021,251,82,40,48.78048780487805,70,38,54.285714285714285,34,24,2021-01-04,2021-12-31
SPY,2022,250,83,43,51.80722891566265,94,45,47.87234042553192,25,34,2022-01-03,2022-12-30
SPY,2023,249,88,50,56.81818181818182,78,46,58.97435897435898,35,29,2023-01-03,2023-12-29
SPY,2024,251,89,47,52.80898876404494,75,42,56.00000000000001,40,12,2024-01-02,2024-12-31
SPY,2025,108,26,15,57.692307692307686,31,18,58.06451612903226,14,15,2025-01-02,2025-06-10
